domain,Gender and social inclusion,,
E_M_E.2,question,"Please imagine a 5-step ladder, where at the bottom, on the first step, stand the individual men of this community with little capacity to make their own decisions about important affairs in their lives. These men have little say about if or where they will work, or about starting or ending a relationship with a woman. On the highest step, the fifth, stand those who have great capacity to make important decisions for themselves, including about their working life and whether to start or end a relationship in their personal life. Why?",ASP;GAP;NRM_AST;NRM_DEC;NRM_STIG
E_M_E.20,question,And what would happen if men tried to raise and sell on their own [name a major crop or animal associated with the women]?  What difficulties could they face?,GAP;NRM_AST;NRM_DEC;NRM_DIV;NRM_INF;NRM_MEN;NRM_MOB;NRM_STIG
E_M_E.21,question,"How is it decided who farms which plot? In general in this community, are some household members responsible for some farm plots while other household members are responsible for other plots? ",NRM_AST;NRM_DEC;NRM_DIV
E_M_E.22,question,"[If men and women generally have separate plots:] How often do men typically work on their wives? plots? 
  How often do women typically work on their husbands? plots? ",NRM_AST;NRM_DEC;NRM_DIV
E_M_E.23,question,How often do other household members work on women?s plots? And on men?s plots?,NRM_AST;NRM_DEC;NRM_DIV
E_M_E.23a,question,"What about women headed families, how do they do the farming?",
E_M_E.24,question,"Generally, if a woman wanted to plant a new crop, would she consult someone first?  If so, who?   
 And would a man consult someone first before planting a new crop?  If so, who?  ",NRM_DEC;NRM_DIV;NRM_INF;NRM_MEN
E_M_E.25,vignette,"Now I?m going to talk about different young couples who live in this village.   Let?s call the first couple [female spouse1] and [male spouse1].  [female spouse1] helps her husband with his crops, and she also has her own home garden.  [male spouse1], however, sells her produce from the garden to a neighbor who works in the market.  Even though [female spouse1] could earn more money if she sold her produce herself, [male spouse1] feels strongly that [female spouse1] belongs at home, and he considers the household and children to be [female spouse1]?s job, and earning money to be his job.      
How do you think [male spouse1] would respond if [female spouse1] asks if she can join a local group of women who grow vegetables like she does?",NRM_DEC;NRM_DIV;NRM_INF;NRM_MOB;NRM_STIG
E_M_E.25.a,vignette,"What is he afraid of, what happens if he lets her [go] out?",
E_M_E.26,vignette,How do you think [male spouse1] would respond if [female spouse1] asks to sell her vegetables herself?,NRM_AST;NRM_DEC;NRM_DIV;NRM_INF;NRM_MOB;NRM_STIG
E_M_E.27,vignette,Do you think [male spouse1] will ask [female spouse1] for less help on his plot now that she is busier with her own activities?   ,NRM_DEC;NRM_DIV;NRM_EQ;NRM_MOB;NRM_STIG
E_M_E.28,vignette,"Let?s move next to our second couple, and we will call them [female spouse2] and [male spouse2].  [female spouse2] also helps on her husband?s farm, and has her own home garden.  But unlike [female spouse1], [female spouse2] has been working for a long time in the market, selling the produce herself from her garden.  And [male spouse2] helps out around the house and with caring for their children.  [female spouse2] and  [male spouse2] , then, share some of the provider and housework responsibilities in their household. 
What kind of reputation do you think that [female spouse2] has in the village because she is a seller in the market?",NRM_DIV;NRM_EQ;NRM_STIG
E_M_E.29,vignette,"And [male spouse2], what kind of reputation does he have in the village and among his friends?",NRM_STIG
E_M_E.3,question,Now I'd like to turn to the topic of education. What do you think about going to school? Is it useful to get an education?,ASP;GAP;NRM_EQ;NRM_INF
E_M_E.30,vignette,"If [female spouse2] is very successful with her small enterprise, how do you imagine that [male spouse2] will react?",ASP;NRM_AST;NRM_DIV;NRM_EQ;NRM_STIG
E_M_E.31,question,What comes to mind when you think of the term gender equality?  Do you think gender equality is a good or a bad thing?  Why?    ,NRM_DEC;NRM_DIV;NRM_EQ
E_M_E.32,vignette,"Now let?s talk about the third and last couple.  We will call them [male spouse3] and [female spouse3] 
How would [male spouse3] and [female spouse3]  make decisions about how much of  [female spouse3]?s home garden to sell and how much to keep to feed the family?  Would  [female spouse3] decide how much to sell and how much to keep?  Would  [male spouse3] decide?  Or would they decide together?  How would their discussion about this go?",NRM_AST;NRM_DEC;NRM_EQ
E_M_E.32.a,vignette,What would happen if they don?t agree?,
E_M_E.33,vignette,Who would be more likely to sell the vegetables?  [male spouse3]? [female spouse3]?  Why?,NRM_AST;NRM_DEC;NRM_DIV;NRM_EQ;NRM_INF;NRM_MEN;NRM_MOB;NRM_STIG
E_M_E.34,vignette,Let?s say [female spouse3] learns from her sister about new farming practices that increase yield and profits.  She wants to try planting a new variety and using more fertilizer.  What do you think will happen? Do you think [female spouse3] and [male spouse3] will make these changes?    ,GAP;NRM_AST;NRM_DEC;NRM_EQ;NRM_INF
E_M_E.35,vignette,"Now let?s say that [female spouse3] recently inherited some money that would allow her to purchase a plot of land right near the homestead to expand her vegetable garden. [male spouse3], however, has other plans for his wife?s inheritance. He would like to buy a motorbike. How easy or difficult will it be for [female spouse3] to go ahead and purchase the plot of land in the absence of [male spouse3]?s support? ",NRM_AST;NRM_DEC
E_M_E.36,vignette,Why?    ,NRM_AST;NRM_DEC;NRM_STIG
E_M_E.37,vignette,What if we reversed the situation?  What if [male spouse3] inherited money instead of [female spouse3]?  How easy or difficult would it be for [male spouse3] to move forward on purchasing a motorbike without [female spouse3]?s support? Why?,NRM_AST;NRM_DEC;NRM_EQ;NRM_STIG
E_M_E.37a,vignette,What if she doesn?t accept?,
E_M_E.37b,vignette,What will happen he came with the bike?,
E_M_E.38,question,Next I'd like to discuss a few factors that can affect women's working lives.  Can a young woman walk comfortably alone to the local market?     ,NRM_EQ;NRM_MOB;NRM_STIG
E_M_E.39,question,How does this change once a woman becomes married?  Can a young married woman walk around on her own comfortably to the market?     ,NRM_DEC;NRM_MOB;NRM_STIG
E_M_E.4,question,Until what grade do boys generally study in this community? And girls?,GAP;NRM_DEC;NRM_EQ;NRM_INF
E_M_E.40,question,Is it easy or hard for a woman to sell in the local market?  Why?,NRM_AST;NRM_DIV;NRM_EQ;NRM_MOB;NRM_STIG
E_M_E.41,question,"Out of every 10 women in your community, how many of them move about freely on their own in the public spaces of the community?",NRM_MOB;NRM_STIG
E_M_E.42,question,"Now let's say for some reason a young man in this community really wants to find better work, and they decided that they need to move away to live and work in a city where there were more opportunities.   How easy would this be for them?  Do many young men from here migrate? ",ASP;GAP;NRM_INF;NRM_MOB
E_M_E.42.a,question,Do many boys form this area migrate to other places to look for job?,
E_M_E.42.b,question,Let?s say how many of them migrate out of ten boys to look for job?,
E_M_E.43,question,What do people think about a young man who has migrated for work and then returns to live in the village?    What opportunities do they have?,ASP;GAP;NRM_STIG
E_M_E.43.a,question,What will they do then?,
E_M_E.44,question,"At what age does a young woman and man typically come together to start their own family in this community? 
  ",NRM_AST;NRM_DIV;NRM_EQ
E_M_E.44.a,question,How about the girls?,
E_M_E.44.b,question,"In this community that has polygamy, could also ask: Is it preferable to be in a monogamous or polygamous relationship?  Why?]   ",
E_M_E.45,question,How are decisions made about who a woman and a man will marry?  ,NRM_AST;NRM_DEC;NRM_STIG
E_M_E.45.a,question,"In this community that has polygamy, could also ask:  And how are decisions made about co-wives?  Do women have a say in whether they want to be in a polygamous marriage?   ",
E_M_E.46,question,How do you think decisions should be made about marriage?      ,NRM_DEC;NRM_EQ
